Entry,Category,Film,Director,Year,IMDB,Country
128,Horror,Don't Look Now,Nicholas Roeg,1973,http://www.imdb.com/title/tt0069995/,UK
129,Horror,The Wicker Man,Robin Hardy,1973,http://www.imdb.com/title/tt0070917/,UK
130,Horror,The Shining,Stanley Kubrick,1980,http://www.imdb.com/title/tt0081505/,USA
131,Horror,The Exorcist,William Friedkin,1973,http://www.imdb.com/title/tt0070047/,USA
132,Horror,Nosferatu(1922),FW Mernau,1922,http://www.imdb.com/title/tt0013442/,Germany
133,Horror,Let the Right One In,Tomas Alfredson,2008,http://www.imdb.com/title/tt1139797/,Sweden
134,Horror,Vampyr,Carl Theodor Dreyer,1932,http://www.imdb.com/title/tt0023649/,Germany
135,Horror,Peeping Tom,Michael Powell,1960,http://www.imdb.com/title/tt0054167/,UK
136,Horror,The Innocents,Jack Clayton,1961,http://www.imdb.com/title/tt0055018/,USA
137,Horror,Ringu,Hideo Nakata,1998,http://www.imdb.com/title/tt0178868/,Japan
138,Horror,The Haunting,Robert Wise,1963,http://www.imdb.com/title/tt0057129/,USA
139,Horror,Texas Chainsaw Massacre,Tobe Hooper,1974,http://www.imdb.com/title/tt0072271/,USA
141,Horror,The Cabinet of Dr Caligari,Robert Wiene,1920,http://www.imdb.com/title/tt0010323/,Germany
142,Horror,Halloween,John Carpenter,1978,http://www.imdb.com/title/tt0077651/,USA
143,Horror,Bride of Frankenstein,James Whale,1935,http://www.imdb.com/title/tt0026138/,USA
144,Horror,Les Diaboliques,Henri-Georges Clouzot,1955,http://www.imdb.com/title/tt0046911/,France
145,Horror,Audition,Miike Takashi,1999,http://www.imdb.com/title/tt0235198/,Korea
146,Horror,Dracula(1958),Terence Fisher,1958,http://www.imdb.com/title/tt0051554/,UK
148,Horror,Evil Dead,Sam Raimi,1981,http://www.imdb.com/title/tt0083907/,USA
149,Horror,Carrie,Brian De Palma,1976,http://www.imdb.com/title/tt0074285/,USA
150,Horror,Les Vampires (1915),Louis Feuillade,1915,http://www.imdb.com/title/tt0006206/,France
